,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,San Cristobal,40,HN,1562869917,43,14.68,-86.92,86.07,8.66
1,Hermanus,69,ZA,1562870306,88,-34.42,19.24,57.0,13.44
2,Ushuaia,75,AR,1562870308,93,-54.81,-68.31,37.4,18.34
3,Barrow,100,AR,1562870053,59,-38.31,-60.23,58.89,0.96
4,Labuhan,14,ID,1562869731,96,-2.54,115.51,71.13,1.39
5,Cherskiy,66,RU,1562870311,46,68.75,161.3,74.19,4.18
6,Kodiak,40,US,1562870313,18,39.95,-94.76,84.0,10.29
7,Grand-Lahou,60,CI,1562870314,80,5.24,-5.0,77.25,5.01
8,Cananea,40,MX,1562870315,14,30.98,-110.3,95.0,6.93
9,Antofagasta,90,CL,1562869659,72,-23.65,-70.4,59.0,12.75
10,Victor Harbor,75,AU,1562870318,87,-35.55,138.62,55.99,14.99
11,Bambous Virieux,20,MU,1562870319,82,-20.34,57.76,68.0,6.93
12,Monte Santo,92,BR,1562870052,58,-10.44,-39.33,77.79,8.88
13,Vaini,100,IN,1562870321,90,15.34,74.49,76.89,0.87
14,Jamestown,100,AU,1562870322,83,-33.21,138.6,50.97,18.03
15,Tautira,40,PF,1562870324,74,-17.73,-149.15,78.8,8.05
16,Yellowknife,90,CA,1562870325,63,62.45,-114.38,60.8,4.7
17,Hofn,20,IS,1562869712,59,64.25,-15.21,60.8,6.93
18,Bredasdorp,0,ZA,1562869777,76,-34.53,20.04,55.99,5.82
19,New Norfolk,40,AU,1562870329,75,-42.78,147.06,45.0,12.75
20,Rikitea,69,PF,1562870330,82,-23.12,-134.97,73.65,17.27
21,Mocuba,4,MZ,1562870331,85,-16.84,36.99,60.15,3.04
22,Baherden,6,TM,1562870333,26,38.44,57.43,83.55,6.26
23,Havelock,2,US,1562870334,62,34.88,-76.9,91.4,11.41
24,Upernavik,83,GL,1562870329,72,72.79,-56.15,44.85,4.92
25,Hasaki,75,JP,1562870336,100,35.73,140.83,66.2,4.7
26,Tuktoyaktuk,90,CA,1562870338,86,69.44,-133.03,39.2,10.29
27,Vostok,60,RU,1562870339,93,46.45,135.83,60.15,2.86
28,Mahebourg,20,MU,1562870324,82,-20.41,57.7,68.0,6.93
29,Kapaa,40,US,1562870341,74,22.08,-159.32,82.4,13.87
30,Pampa,1,US,1562870197,51,35.54,-100.96,89.01,4.88
31,Victoria,75,BN,1562870344,83,5.28,115.24,78.8,2.24
32,Ponta do Sol,0,BR,1562870345,39,-20.63,-46.0,70.59,5.84
33,Dingle,36,PH,1562870346,86,11.0,122.67,74.91,2.04
34,Busselton,61,AU,1562870347,74,-33.64,115.35,48.0,12.26
35,Kottagudem,100,IN,1562870349,81,17.55,80.63,79.95,4.52
36,Tucuman,0,PE,1562870350,18,-17.17,-70.89,67.71,9.6
37,Vila Franca do Campo,20,PT,1562870351,69,37.72,-25.43,75.2,10.29
38,Albany,90,US,1562870103,74,42.65,-73.75,84.0,11.41
39,Hilo,1,US,1562870354,69,19.71,-155.08,79.0,7.58
40,Punta Arenas,90,CL,1562870355,93,-53.16,-70.91,41.0,14.99
41,Norman Wells,75,CA,1562870356,71,65.28,-126.83,53.6,14.99
42,Airai,0,TL,1562870358,78,-8.93,125.41,66.99,5.46
43,Pevek,48,RU,1562870359,65,69.7,170.27,47.73,7.94
44,Puerto Leguizamo,94,CO,1562870360,47,-0.19,-74.78,90.93,1.19
45,Yumen,0,CN,1562870087,20,40.29,97.04,75.99,11.03
46,Vestmannaeyjar,90,IS,1562870362,93,63.44,-20.27,51.8,14.99
47,Boguchany,28,RU,1562870364,73,58.38,97.46,55.29,3.42
48,Sabha,0,LY,1562870365,9,27.03,14.43,97.77,8.41
49,Shawinigan,75,CA,1562870159,94,46.54,-72.75,70.0,6.93
50,Batagay,22,RU,1562870367,69,67.65,134.64,61.23,0.56
51,Atuona,59,PF,1562870339,78,-9.8,-139.03,80.85,20.78
52,Ribeira Grande,20,PT,1562870370,73,38.52,-28.7,75.2,4.7
53,Richards Bay,0,ZA,1562870371,81,-28.77,32.06,71.49,20.6
54,Carutapera,14,BR,1562870372,84,-1.2,-46.02,80.31,8.48
55,Jalalabad,20,AF,1562870374,46,34.43,70.46,91.4,9.17
56,Mataura,82,NZ,1562870375,91,-46.19,168.86,44.01,5.99
57,Samarkand,0,UZ,1562870376,32,39.65,66.98,84.2,2.24
58,Weligama,59,LK,1562870207,80,5.97,80.42,83.19,11.95
59,Chapais,90,CA,1562870379,88,49.78,-74.86,68.0,6.93
60,Guarapari,0,BR,1562870380,61,-20.67,-40.5,77.0,11.41
61,Qaanaaq,5,GL,1562870128,47,77.48,-69.36,45.93,4.29
62,Cockburn Town,48,TC,1562870332,82,21.46,-71.14,81.21,15.73
63,Port Alfred,0,ZA,1562870166,87,-33.59,26.89,64.0,8.99
64,Huangmei,72,CN,1562870385,77,30.1,115.95,74.37,5.75
65,Hit,0,IQ,1562869851,12,33.64,42.83,96.15,12.57
66,Krasnoborsk,83,RU,1562870387,90,61.56,45.93,43.77,3.31
